Target,Pressure,R2,MAE,N_systems,Model
Lat_Const,0.0,0.999999706009823,0.0002494989211247467,8,Linear
Lat_Const,5.0,0.9999993878807062,0.0003314087759202068,9,Linear
Lat_Const,10.0,0.9999995363680625,0.00025894570278190484,9,Linear
Lat_Const,15.0,0.9999993603955193,0.00022683033116561232,9,Linear
Lat_Const,20.0,0.9999994112260833,0.00023261831271526034,9,Linear
Lat_Const,50.0,0.9999971237141928,0.0002628297441445129,9,Linear
Lat_Const,75.0,0.9999954159414237,0.0002642564669174736,9,Linear
Lat_Const,100.0,0.9999924571518207,0.00026957305545513875,9,Linear
Lat_Const,125.0,0.9999924680555348,0.00020475821314204346,9,Linear
Lat_Const,150.0,0.9999919599179431,0.00018563419210224395,9,Linear
Bulk_Modulus,0.0,0.9999999988660195,0.0032368766899084633,8,Linear
Bulk_Modulus,5.0,0.9999999995172519,0.0021213211290010353,9,Linear
Bulk_Modulus,10.0,0.9999999990417721,0.00274523664258434,9,Linear
Bulk_Modulus,15.0,0.9999999996918856,0.001661861500519082,9,Linear
Bulk_Modulus,20.0,0.999999999308343,0.002917941344695881,9,Linear
Bulk_Modulus,50.0,0.9999999991752007,0.00353388283294641,9,Linear
Bulk_Modulus,75.0,0.9999999996780795,0.0023475565200214987,9,Linear
Bulk_Modulus,100.0,0.9999999997441053,0.0024697319541991825,9,Linear
Bulk_Modulus,125.0,0.9999999996655724,0.0022738229653529946,9,Linear
Bulk_Modulus,150.0,0.9999999994122147,0.0028523073145834132,9,Linear
Young,0.0,0.9999986304463855,0.05068701334074799,8,GPR
Young,5.0,0.9999999471271608,0.010977590436256988,9,GPR
Young,10.0,0.9999999997126551,0.0012293675008512059,9,GPR
Young,15.0,0.9999999957989707,0.005656490262440627,9,GPR
Young,20.0,0.9999999994847133,0.0016744806672562224,9,GPR
Young,50.0,0.9999999981514031,0.003460441645774242,9,GPR
Young,75.0,0.9999999986802267,0.002769754189275078,9,GPR
Young,100.0,0.9999999999953268,0.00033635263202135154,9,GPR
Young,125.0,0.9999999999981538,0.00018692350233904007,9,GPR
Young,150.0,0.9999999988733463,0.0030092582855453364,9,GPR
Shear,0.0,0.9999999756387883,0.002875814122105025,8,GPR
Shear,5.0,0.9999999848838792,0.0031636894960018263,9,GPR
Shear,10.0,0.9999999985214452,0.0011563422168786956,9,GPR
Shear,15.0,0.9999999962807431,0.002225338669672499,9,GPR
Shear,20.0,0.9999999974557157,0.0018291493900768094,9,GPR
Shear,50.0,0.9999999991157132,0.001162170767873505,9,GPR
Shear,75.0,0.9999999977051472,0.0018462915610848699,9,GPR
Shear,100.0,0.9999999999142203,0.0005481821748623735,9,GPR
Shear,125.0,0.9999999998631655,0.0007638224509866928,9,GPR
Shear,150.0,0.9999999942892166,0.0025642532987089814,9,GPR
Poisson,0.0,0.7618898998280488,0.008847079039821362,8,GradientBoosting
Poisson,5.0,0.8535582712443948,0.005453345347345231,9,GradientBoosting
Poisson,10.0,0.9973393086068842,0.001007150802385232,9,GradientBoosting
Poisson,15.0,0.9529340371179209,0.004159701380585721,9,GradientBoosting
Poisson,20.0,0.9790485722691198,0.002562643788985649,9,GradientBoosting
Poisson,50.0,0.9930458275847021,0.0019399205190835194,9,GradientBoosting
Poisson,75.0,0.9959582705657012,0.0012268198969188318,9,GradientBoosting
Poisson,100.0,0.9955206785969275,0.0013796020841083667,9,GradientBoosting
Poisson,125.0,0.9978619156642998,0.0010374534114799088,9,GradientBoosting
Poisson,150.0,0.9944283327455227,0.0012893182561069835,9,GradientBoosting
Enthalpy,0.0,0.9930498315920514,0.18111590172439207,8,GPR
Enthalpy,5.0,0.9996654364789415,0.06660074630601948,9,GPR
Enthalpy,10.0,0.999999999987301,1.9606070390359382e-05,9,GPR
Enthalpy,15.0,0.9999749300795676,0.024064633590237052,9,GPR
Enthalpy,20.0,0.9999999990948453,0.00014207538980187055,9,GPR
Enthalpy,50.0,0.9999999891290875,0.00042217125864718597,9,GPR
Enthalpy,75.0,0.9999999795016092,0.0007258871343635257,9,GPR
Enthalpy,100.0,0.9999999999811957,2.32425289959062e-05,9,GPR
Enthalpy,125.0,0.9999999999937176,1.3698550174609833e-05,9,GPR
Enthalpy,150.0,0.999997329330218,0.006693713105074088,9,GPR
Octa_ELF,0.0,0.9218623315148656,0.019531183581222796,8,SVR
Octa_ELF,5.0,0.8531798670797234,0.024931954004932713,9,SVR
Octa_ELF,10.0,0.8343905279378628,0.02705158381445857,9,SVR
Octa_ELF,15.0,0.7466145143872793,0.0254193992093274,9,SVR
Octa_ELF,20.0,0.7605675705944105,0.02078482454645724,9,SVR
Octa_ELF,50.0,0.9427695256829883,0.008854106078663727,9,SVR
Octa_ELF,75.0,0.8078247275565563,0.015059125767386002,9,SVR
Octa_ELF,100.0,0.6823501374218278,0.020214156646612975,9,SVR
Octa_ELF,125.0,0.6513158492882329,0.02414016036849282,9,SVR
Octa_ELF,150.0,0.5797542649023587,0.02833319371939247,9,SVR
Tetra_ELF,0.0,0.9772367958120536,0.009425726476416742,8,GPR
Tetra_ELF,5.0,0.993167018024862,0.0035593706584241607,9,GPR
Tetra_ELF,10.0,0.999999999999986,8.595637843475698e-09,9,GPR
Tetra_ELF,15.0,0.9946148496316244,0.004389402256610297,9,GPR
Tetra_ELF,20.0,0.9999892544583072,0.00014764553878438003,9,GPR
Tetra_ELF,50.0,0.9999947764368241,0.0001037885332324764,9,GPR
Tetra_ELF,75.0,0.9998187450307932,0.000623009332457819,9,GPR
Tetra_ELF,100.0,1.0,1.621057670813602e-10,9,GPR
Tetra_ELF,125.0,1.0,6.742307021332136e-11,9,GPR
Tetra_ELF,150.0,0.997730050037808,0.0016532678116387884,9,GPR
DelRho_AvgAtom,0.0,0.6295244793629909,7.242465123457086,8,GradientBoosting
DelRho_AvgAtom,5.0,0.7869239703086355,5.267937999440634,9,GradientBoosting
DelRho_AvgAtom,10.0,0.973613614941436,1.9129134779323098,9,GradientBoosting
DelRho_AvgAtom,15.0,0.8213187037478833,3.4756652520786813,9,GradientBoosting
DelRho_AvgAtom,20.0,0.9516809868559627,1.902629887598496,9,GradientBoosting
DelRho_AvgAtom,50.0,0.8935472689702314,2.6363082951723253,9,GradientBoosting
DelRho_AvgAtom,75.0,0.9780361076074034,1.4028015423516988,9,GradientBoosting
DelRho_AvgAtom,100.0,0.991035685945515,0.8490729706679292,9,GradientBoosting
DelRho_AvgAtom,125.0,0.9741927850346666,1.092334115330765,9,GradientBoosting
DelRho_AvgAtom,150.0,0.9380721921737186,1.075813449886842,9,GradientBoosting
DelRho_Tetra,0.0,0.9860389440719776,0.05395217257051059,8,Linear
DelRho_Tetra,5.0,0.9862662577561672,0.058135950371042355,9,Linear
DelRho_Tetra,10.0,0.9838454314562357,0.05473111379044252,9,Linear
DelRho_Tetra,15.0,0.9808790407136921,0.05749702123367563,9,Linear
DelRho_Tetra,20.0,0.9823845199709222,0.0550613617347241,9,Linear
DelRho_Tetra,50.0,0.9941496437858516,0.03660047195899562,9,Linear
DelRho_Tetra,75.0,0.9975125069017357,0.021419041174313716,9,Linear
DelRho_Tetra,100.0,0.9830965259028217,0.04291513646264823,9,Linear
DelRho_Tetra,125.0,0.9595651130486235,0.060489948679373934,9,Linear
DelRho_Tetra,150.0,0.9545208611487866,0.07290964408987193,9,Linear
DelRho_Octa,0.0,0.5998007550550248,0.14744544028374895,8,SVR
DelRho_Octa,5.0,0.7739888976044127,0.13670335751993412,9,SVR
DelRho_Octa,10.0,0.7883188656923348,0.11985683413638443,9,SVR
DelRho_Octa,15.0,0.7837939365364018,0.0960871961590973,9,SVR
DelRho_Octa,20.0,0.7678280306041463,0.0833887927305707,9,SVR
DelRho_Octa,50.0,0.45628634739699003,0.1076398826341571,9,SVR
DelRho_Octa,75.0,0.3881466433050754,0.11419686736654915,9,SVR
DelRho_Octa,100.0,0.4107067677821522,0.1449651214918591,9,SVR
DelRho_Octa,125.0,0.2892600483857779,0.20292640456132302,9,SVR
DelRho_Octa,150.0,0.21700485662984903,0.2463050808144794,9,SVR
